identifier	prefix	category	group	group_name	count	new_identifier	new_prefix	new_category	new_group	new_group_name	parameter	suffix	prefix__suffix
ch_acd	ch	convexhull	convexhull	Convex hull features	1	convexhull__average-clump-displacement	convexhull	convexhull	convexhull	Convex hull features		average-clump-displacement	"convexhull___average-clump-displacement":
ch_area_ratio	ch	convexhull	convexhull	Convex hull features	1	convexhull__area-ratio	convexhull	convexhull	convexhull	Convex hull features		area-ratio	"convexhull___area-ratio":
ch_cc	ch	convexhull	convexhull	Convex hull features	1	convexhull__number-of-connected-components	convexhull	convexhull	convexhull	Convex hull features		number-of-connected-components	"convexhull___number-of-connected-components":
ch_max_val_0	ch	convexhull	convexhull	Convex hull features	1	convexhull__area-max-0	convexhull	convexhull	convexhull	Convex hull features		area-max-0	"convexhull___area-max-0":
ch_max_val_1	ch	convexhull	convexhull	Convex hull features	1	convexhull__area-max-1	convexhull	convexhull	convexhull	Convex hull features		area-max-1	"convexhull___area-max-1":
ch_max_val_2	ch	convexhull	convexhull	Convex hull features	1	convexhull__area-max-2	convexhull	convexhull	convexhull	Convex hull features		area-max-2	"convexhull___area-max-2":
ch_mean_area	ch	convexhull	convexhull	Convex hull features	1	convexhull__area-mean	convexhull	convexhull	convexhull	Convex hull features		area-mean	"convexhull___area-mean":
ch_rugosity	ch	convexhull	convexhull	Convex hull features	1	convexhull__rugosity	convexhull	convexhull	convexhull	Convex hull features		rugosity	"convexhull___rugosity":
ch_thresh_cc	ch	convexhull	convexhull	Convex hull features	1	convexhull__number-of-large-connected-components	convexhull	convexhull	convexhull	Convex hull features		number-of-large-connected-components	"convexhull___number-of-large-connected-components":
ch_variance_area	ch	convexhull	convexhull	Convex hull features	1	convexhull__area-variance	convexhull	convexhull	convexhull	Convex hull features		area-variance	"convexhull___area-variance":
circularity	circularity	circularity	basicshape	Basic shape features	1	circularity__standard	circularity	circularity	basicshape	Basic shape features		standard	"circularity___standard":
dist_max	dist	axes	basicshape	Basic shape features	1	expansion__max	expansion	geometry	basicshape	Basic shape features		max	"expansion___max":
dist_min	dist	axes	basicshape	Basic shape features	1	expansion__min	expansion	geometry	basicshape	Basic shape features		min	"expansion___min":
dist_ratio	dist	axes	basicshape	Basic shape features	1	expansion__ratio	expansion	geometry	basicshape	Basic shape features		ratio	"expansion___ratio":
dyn_distance_nb_max	dyn	distance	distance	Distance map features	1	distance-map-dynamics__number-of-maxima	distance-map-dynamics	distance-map-dynamics	distance-map-dynamics	Distance map features		number-of-maxima	"distance-map-dynamics___number-of-maxima":
dyn_distance_radius_0	dyn	distance	distance	Distance map features	1	distance-map-dynamics_highest_0_radius	distance-map-dynamics	distance-map-dynamics	distance-map-dynamics	Distance map features	highest_0	radius	"distance-map-dynamics___radius":
dyn_distance_radius_1	dyn	distance	distance	Distance map features	1	distance-map-dynamics_highest_1_radius	distance-map-dynamics	distance-map-dynamics	distance-map-dynamics	Distance map features	highest_1	radius	"distance-map-dynamics___radius":
dyn_distance_radius_2	dyn	distance	distance	Distance map features	1	distance-map-dynamics_highest_2_radius	distance-map-dynamics	distance-map-dynamics	distance-map-dynamics	Distance map features	highest_2	radius	"distance-map-dynamics___radius":
dyn_distance_radius_3	dyn	distance	distance	Distance map features	1	distance-map-dynamics_highest_3_radius	distance-map-dynamics	distance-map-dynamics	distance-map-dynamics	Distance map features	highest_3	radius	"distance-map-dynamics___radius":
eccentricity	_	moments	moments	Moments	1	eccentricity__	eccentricity	moments	moments	Moments			"eccentricity___":
ellip_axis_ratio	_	moments	moments	Moments	1	ellipse__ratio-axis	ellipse	moments	moments	Moments		ratio-axis	"ellipse___ratio-axis":
ellip_major_axis	_	moments	moments	Moments	1	ellipse__major-axis	ellipse	moments	moments	Moments		major-axis	"ellipse___major-axis":
ellip_minor_axis	_	moments	moments	Moments	1	ellipse__minor-axis	ellipse	moments	moments	Moments		minor-axis	"ellipse___minor-axis":
granu_close_area_1	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_close_area-1	granulometry	granulometry	granulometry	Granulometry features	operation_close	area-1	"granulometry___area-1":
granu_close_area_2	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_close_area-2	granulometry	granulometry	granulometry	Granulometry features	operation_close	area-2	"granulometry___area-2":
granu_close_area_3	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_close_area-3	granulometry	granulometry	granulometry	Granulometry features	operation_close	area-3	"granulometry___area-3":
granu_close_area_5	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_close_area-5	granulometry	granulometry	granulometry	Granulometry features	operation_close	area-5	"granulometry___area-5":
granu_close_area_7	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_close_area-7	granulometry	granulometry	granulometry	Granulometry features	operation_close	area-7	"granulometry___area-7":
